,UMAP1,UMAP2,UMAP3,cluster_label,Planet
0,12.22217,0.132873,2.5641432,1,11 Com b
1,12.817054,0.11945571,3.0800545,1,14 And b
2,10.296771,4.487612,3.3504117,0,14 Her b
3,8.544287,3.9652953,2.115144,0,16 Cyg B b
4,12.172496,-0.22293895,2.4623067,2,17 Sco b
5,12.645403,1.3587968,3.1561093,1,18 Del b
6,12.849318,0.14078024,3.0611477,1,24 Boo b
7,13.791877,2.276356,2.6173701,1,24 Sex b
8,12.571393,1.7980046,2.6816754,0,24 Sex c
9,11.854097,4.2209797,3.6129985,1,47 UMa b
10,11.257089,3.9029653,3.8174574,1,47 UMa c
11,10.27419,2.995911,4.6549788,0,47 UMa d
12,10.256749,2.9723272,4.651335,0,51 Eri b
13,10.191639,2.9364116,4.5784345,0,51 Eri b
14,9.386552,12.477886,4.6533446,1,51 Peg b
15,6.6992016,10.403926,6.3911242,1,55 Cnc b
16,6.650644,10.5146475,6.546859,1,55 Cnc b
17,6.697898,10.420934,6.411254,1,55 Cnc b
18,6.67223,10.521971,6.5254064,1,55 Cnc b
19,6.9940495,9.8774,5.6096425,1,55 Cnc c
20,7.0926056,9.598395,5.2657013,1,55 Cnc c
21,7.0860295,9.763956,5.3943067,1,55 Cnc c
22,7.0638685,9.747637,5.408691,1,55 Cnc c
23,10.500182,3.1200612,4.714911,0,55 Cnc d
24,10.6007595,3.1929228,4.8377647,0,55 Cnc d
25,10.600055,3.1705573,4.8423686,0,55 Cnc d
26,10.598929,3.1971104,4.8196106,0,55 Cnc d
27,6.7500553,10.332907,6.2692657,1,55 Cnc e
28,6.6097965,10.540677,6.6262264,1,55 Cnc e
29,7.7425103,6.7155523,3.056276,1,55 Cnc e
30,7.856483,6.543212,2.9412405,1,55 Cnc f
31,7.328424,10.314915,5.651604,1,55 Cnc f
32,7.3908257,8.077828,4.1472354,1,55 Cnc f
33,7.361136,10.558609,5.854965,1,55 Cnc f
34,13.173378,1.9983096,3.1355038,1,6 Lyn b
35,8.549449,9.133953,3.5384512,1,61 Vir b
36,8.504239,8.944421,3.5270278,1,61 Vir c
37,8.249855,6.150991,2.5501196,0,61 Vir d
38,13.225974,2.2556388,3.0298204,1,7 CMa b
39,13.553179,2.4206133,3.354907,1,7 CMa b
40,13.407263,2.3206172,3.4473937,1,7 CMa c
41,8.633137,5.9328017,2.2549846,0,70 Vir b
42,12.539947,0.775765,3.0073836,1,75 Cet b
43,12.539759,1.1419277,3.0341938,1,81 Cet b
44,0.545957,5.6829605,4.9136934,4,AU Mic b
45,12.102787,-0.54045695,2.3286335,2,BD+03 2562 b
46,7.71926,6.578387,3.0657978,1,BD+14 4559 b
47,12.941719,0.14437714,3.0747275,1,BD+15 2375 b
48,12.182313,0.51305693,2.5562055,1,BD+15 2940 b
49,12.075276,-0.65542215,2.2790344,2,BD+20 2457 b
50,12.073036,-0.6778231,2.260543,2,BD+20 2457 c
51,12.217051,0.18231814,2.565339,1,BD+20 274 b
52,8.72789,12.240017,5.3179317,1,BD+20 594 b
53,12.300191,0.62386185,2.6550403,1,BD+48 738 b
54,11.77472,1.639722,2.6931996,0,BD+48 740 b
55,12.191445,1.9064225,3.2047355,0,BD+49 828 b
56,11.541405,4.4390635,4.087117,1,BD-11 4672 b
57,7.2590227,5.6620646,2.6822245,4,BD-11 4672 c
58,7.3513675,5.2532935,2.4856384,0,BD-17 63 b
59,10.099698,11.61171,2.3722813,1,CoRoT-19 b
60,6.483897,10.611805,6.8745017,1,CoRoT-7 b
61,7.098396,9.045528,4.8373585,1,CoRoT-7 b
62,6.4588313,10.564534,6.853332,1,CoRoT-7 c
63,7.072996,9.075096,4.883198,1,CoRoT-7 c
64,9.849806,11.167779,1.9813299,1,DMPP-2 b
65,2.631178,7.3577056,6.0577917,1,EPIC 201757695.02
66,-2.0583262,4.6293383,5.7541585,4,G 9-40 b
67,-0.6744696,4.317662,3.3517036,4,GJ 1061 b
68,-0.66022766,4.3553414,3.3593879,4,GJ 1061 c
69,-0.4587858,4.4395266,3.3081589,4,GJ 1061 d
70,-0.8573842,4.471135,3.6338463,4,GJ 1132 b
71,-0.67188567,4.3886843,3.4039237,4,GJ 1132 c
72,-0.19001737,4.7852073,3.607745,4,GJ 1148 b
73,-0.12751725,4.698511,3.445773,4,GJ 1148 b
74,-0.16172497,4.772152,3.5733252,4,GJ 1148 c
75,-2.0774477,4.5161486,4.7093897,4,GJ 1214 b
76,-1.4840385,4.9817123,6.0670824,4,GJ 1252 b
77,-2.2348094,4.426931,4.7197785,4,GJ 1265 b
78,6.133711,8.113428,4.8888035,1,GJ 143 b
79,10.40726,3.194737,4.469407,0,GJ 15 A c
80,-0.1154668,5.214185,4.614451,4,GJ 179 b
81,-0.89842534,5.0566444,4.7859626,4,GJ 251 b
82,-1.3829186,4.8046656,4.670717,4,GJ 273 b
83,-0.959303,4.8356347,4.295133,4,GJ 273 c
84,7.88951,5.21559,2.1738963,0,GJ 3021 b
85,0.2219092,5.012993,3.7178385,4,GJ 3090 b
86,0.16333617,5.284632,4.3341703,4,GJ 3138 b
87,0.22424056,5.506825,4.9251566,4,GJ 3138 c
88,0.23198558,4.9979296,3.6968079,4,GJ 3138 d
89,-0.79542917,5.2511826,5.5158544,4,GJ 3293 b
90,-0.7108234,5.2643948,5.3798895,4,GJ 3293 b
91,-0.51408124,5.1896257,4.839662,4,GJ 3293 c
92,0.009264981,4.854808,3.5912337,4,GJ 3293 c
93,-0.49505085,5.194499,4.769653,4,GJ 3293 d
94,-0.32362282,5.033252,4.137414,4,GJ 3293 e
95,-0.7930336,4.383601,3.4891276,4,GJ 3323 b
96,-1.1923069,4.4788065,3.927049,4,GJ 3323 c
97,0.08280572,4.9228415,3.66085,4,GJ 3341 b
98,0.66456383,5.7790174,5.0007424,4,GJ 338 B b
99,0.67758685,5.790745,5.012293,4,GJ 338 B b
100,-0.35617492,5.452196,5.5538926,4,GJ 3470 b
101,-1.8964576,4.7695913,5.9125514,4,GJ 3473 b
102,-1.8945252,4.7473693,5.960084,4,GJ 3473 c
103,-0.54382294,4.3894644,3.2830105,4,GJ 3512 b
104,-0.51226616,4.4197598,3.2980301,4,GJ 3512 b
105,-2.3953404,4.3635116,4.649944,4,GJ 3512 c
106,-0.58264214,5.438558,6.348233,4,GJ 367 b
107,-1.4643828,4.802079,4.827019,4,GJ 3779 b
108,-2.0480106,4.646504,5.8199563,4,GJ 3929 b
109,-2.045065,4.6464467,5.8019805,4,GJ 3929 c
110,0.5591317,5.681559,4.8908634,4,GJ 3942 b
111,0.14653307,5.75652,6.014236,4,GJ 3998 b
112,0.24003592,5.7283416,5.616474,4,GJ 3998 c
113,-0.28905123,5.013004,4.086154,4,GJ 411 b
114,-0.47650543,5.207873,4.7940803,4,GJ 411 b
115,7.199047,5.595501,2.6579657,4,GJ 414 A b
116,0.9817924,6.0072613,5.2268715,4,GJ 414 A c
117,-0.03220808,4.8162556,3.5432117,4,GJ 4276 b
118,-0.44657153,5.156241,4.561738,4,GJ 436 b
119,-0.46678185,5.1187353,4.483931,4,GJ 436 b
120,-0.3474075,5.0446043,4.1672635,4,GJ 436 b
121,-1.4900261,4.84722,5.2143064,4,GJ 486 b
122,0.1764464,4.926155,3.6108775,4,GJ 514 b
123,0.18039674,5.4987826,4.8760276,4,GJ 536 b
124,0.16229524,5.617098,5.2866387,4,GJ 536 b
125,-2.022944,4.666251,5.8289785,4,GJ 581 b
126,-1.923975,4.7130313,5.823273,4,GJ 581 b
127,-1.972362,4.702411,5.868246,4,GJ 581 c
128,-1.2695179,4.8929443,4.8211365,4,GJ 581 c
129,-1.9955223,4.6839437,5.8339853,4,GJ 581 e
130,-1.0179845,4.960287,4.526918,4,GJ 581 e
131,-0.9655227,4.9390693,4.477299,4,GJ 625 b
132,0.45937884,5.9157934,5.918287,4,GJ 685 b
133,-0.91369486,5.240956,5.703529,4,GJ 687 b
134,0.5063511,5.6476774,4.8701696,4,GJ 720 A b
135,0.36347684,5.282285,4.172922,4,GJ 740 b
136,-0.13380277,5.39503,5.1773167,4,GJ 849 b
137,-1.8216974,4.745784,5.659455,4,GJ 876 b
138,-1.7863148,4.7664833,5.6689644,4,GJ 876 b
139,-0.2724659,4.812932,3.711371,4,GJ 876 b
140,-1.2923461,4.8654194,4.7184567,4,GJ 876 b
141,-0.31094846,4.8191514,3.7240167,4,GJ 876 c
142,-0.3078688,4.785694,3.6695776,4,GJ 876 c
143,-0.2972318,4.819514,3.6973617,4,GJ 876 c
144,-1.9681615,4.732199,5.728449,4,GJ 876 d
145,-1.342702,4.8619337,4.826773,4,GJ 876 d
146,-1.7392449,4.776491,5.5951395,4,GJ 876 e
147,0.042025305,5.712166,6.080314,4,GJ 887 b
148,-0.45856148,4.460917,3.3514936,4,GJ 9066 c
149,0.3769284,5.12928,3.8491619,4,GJ 9689 b
150,10.684168,12.131447,0.9625824,1,GPX-1 b
151,0.55460316,5.692088,4.918369,4,Gl 378 b
152,0.27779028,5.0316668,3.7295732,4,Gl 49 b
153,-0.18858454,5.4726,5.274204,4,Gl 686 b
154,-0.41644138,5.516513,6.2971516,4,Gl 686 b
155,-0.14918473,5.5323725,5.5142913,4,Gl 686 b
156,9.77158,12.987002,3.3268273,1,HAT-P-1 b
157,9.797756,12.907564,3.4061882,1,HAT-P-1 b
158,6.285372,8.146973,4.8073015,1,HAT-P-11 b
159,2.6202548,7.3513474,6.0645924,1,HAT-P-12 b
160,2.4753222,7.215111,5.963029,1,HAT-P-12 b
161,10.056023,12.005569,4.152182,1,HAT-P-13 b
162,8.396456,4.1256514,2.0191817,0,HAT-P-13 c
163,10.370062,11.538841,0.96847093,1,HAT-P-14 b
164,10.424563,11.5678215,1.0693133,1,HAT-P-14 b
165,8.5316725,8.494629,3.2701042,1,HAT-P-15 b
166,9.964033,11.968215,2.259589,1,HAT-P-16 b
167,7.7078986,6.5024843,2.966356,1,HAT-P-17 b
168,10.274057,3.3252213,3.8135939,0,HAT-P-17 c
169,11.621219,4.329278,3.9101715,1,HAT-P-17 c
170,5.546915,8.27499,5.3919716,1,HAT-P-18 b
171,6.0618095,8.885728,5.592718,1,HAT-P-19 b
