,UMAP1,UMAP2,UMAP3,cluster_label,Planet
0,10.947193,0.32356507,6.2641006,0,11 Com b
1,11.024634,0.6004959,7.0333743,0,14 And b
2,8.969087,4.732381,4.8527374,4,14 Her b
3,7.9627986,4.417031,3.0790455,4,16 Cyg B b
4,10.922136,0.017213792,6.1146274,3,17 Sco b
5,10.78398,1.6616111,6.69058,0,18 Del b
6,11.05312,0.6171171,7.057663,0,24 Boo b
7,11.782749,2.6004093,7.12434,0,24 Sex b
8,11.134978,2.009944,6.1402187,4,24 Sex c
9,10.063216,4.5727777,5.9760447,0,47 UMa b
10,9.461906,4.1900306,5.9496007,0,47 UMa c
11,8.044429,3.2906168,6.0897856,4,47 UMa d
12,8.092978,3.3329153,6.129408,4,51 Eri b
13,8.079128,3.3239522,6.1111937,4,51 Eri b
14,10.886272,12.487605,3.929586,0,51 Peg b
15,7.574506,12.250464,5.6861467,0,55 Cnc b
16,7.558344,12.218926,5.6774497,0,55 Cnc b
17,7.5043683,12.031266,5.5827665,0,55 Cnc b
18,7.5739136,12.071733,5.5928006,0,55 Cnc b
19,7.6940117,10.9425125,5.01372,0,55 Cnc c
20,7.661625,10.79598,4.9294653,0,55 Cnc c
21,7.658505,11.145729,5.1134553,0,55 Cnc c
22,7.6748943,10.887265,4.987542,0,55 Cnc c
23,8.348258,3.5958538,6.4403477,4,55 Cnc d
24,8.31561,3.5563908,6.434284,4,55 Cnc d
25,8.33447,3.5683208,6.4429727,4,55 Cnc d
26,8.3557205,3.6038833,6.4729247,4,55 Cnc d
27,7.645227,7.22176,3.3323913,0,55 Cnc e
28,7.454533,12.280018,5.747973,0,55 Cnc e
29,7.6105123,11.858499,5.47381,0,55 Cnc e
30,8.236676,11.735236,5.2560563,0,55 Cnc f
31,8.137683,11.441087,5.1143584,0,55 Cnc f
32,7.6853623,7.0588875,3.270538,0,55 Cnc f
33,7.692523,9.138989,4.2919035,0,55 Cnc f
34,11.1231165,2.3665495,6.718464,0,6 Lyn b
35,9.05772,9.620533,3.756079,0,61 Vir b
36,9.000091,9.481577,3.7451642,0,61 Vir c
37,8.116489,6.592971,3.0043843,0,61 Vir d
38,11.247921,2.6171863,6.7428174,0,7 CMa b
39,11.177827,2.7565484,7.083739,0,7 CMa b
40,11.011602,2.5915542,6.8937154,0,7 CMa c
41,8.475312,6.3114963,2.8258238,4,70 Vir b
42,10.845593,1.1173855,6.677717,0,75 Cet b
43,10.787711,1.3725348,6.5446677,0,81 Cet b
44,1.3995552,8.789863,4.2182355,1,AU Mic b
45,10.909478,-0.3366537,5.964454,3,BD+03 2562 b
46,7.57498,7.1293364,3.3738575,0,BD+14 4559 b
47,11.04,0.66765404,7.0569644,0,BD+15 2375 b
48,10.882975,0.58415776,6.222208,0,BD+15 2940 b
49,10.9740505,-0.46970603,5.872256,3,BD+20 2457 b
50,10.896723,-0.56985426,5.777263,3,BD+20 2457 c
51,10.9242935,0.4003029,6.2801347,0,BD+20 274 b
52,10.306966,12.797632,4.48938,0,BD+20 594 b
53,10.913131,0.7381025,6.39946,0,BD+48 738 b
54,10.453366,1.6320893,5.774712,4,BD+48 740 b
55,10.456109,2.0705085,6.242929,4,BD+49 828 b
56,9.251688,4.5931697,6.257534,1,BD-11 4672 b
57,7.0539985,6.4262033,3.012888,1,BD-11 4672 c
58,7.0991116,5.8232126,2.8357546,4,BD-17 63 b
59,9.025261,4.49498,6.2647066,1,BD-210397 b
60,8.395028,3.7135687,6.298305,4,BD-210397 c
61,11.557991,10.451678,2.5649781,0,CoRoT-19 b
62,7.282927,12.392146,5.879583,0,CoRoT-7 b
63,7.5415993,10.181988,4.6740065,0,CoRoT-7 b
